"run_index","run_id","mode","samples","nominal_snr_db","snr_mean_db","snr_min_db","snr_max_db","snr_std_db","channel_gain_mean_db","channel_gain_min_db","channel_gain_max_db","channel_gain_std_db","source_snr","source_gain"
"45","ui_offline_gpu_20260601_210133","offline_gpu_simulated_channel","6000","24","12.919726518500033","4","19.998102","4.148710633264149","-11.080273481500008","-20","-4.001898","4.148710633264157","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_210133\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_210133\simulated_channel_gain_trace_db.csv"
"46","ui_offline_gpu_20260601_210327","offline_gpu_simulated_channel","6000","24","12.917002542333352","4","19.999775","4.12472184627586","-11.08299745766665","-20","-4.000225","4.124721846275857","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_210327\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_210327\simulated_channel_gain_trace_db.csv"
"47","ui_offline_gpu_20260601_210349","offline_gpu_simulated_channel","6000","24","12.906862744333361","4","19.999156","4.142577698682319","-11.093137255666658","-20","-4.000844","4.142577698682324","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_210349\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_210349\simulated_channel_gain_trace_db.csv"
"48","ui_offline_gpu_20260601_210415","offline_gpu_simulated_channel","6000","24","12.911642474833325","4","19.99986","4.114029437868945","-11.088357525166664","-20","-4.00014","4.114029437868945","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_210415\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_210415\simulated_channel_gain_trace_db.csv"
"49","ui_offline_gpu_20260601_211016","offline_gpu_simulated_channel","6000","24","12.912186522500003","4","19.989789","4.131530477563295","-11.087813477499992","-20","-4.010211","4.131530477563295","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_211016\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_211016\simulated_channel_gain_trace_db.csv"
"50","ui_offline_gpu_20260601_212927","offline_gpu_simulated_channel","6000","24","12.8616932625","4","19.984316","4.112915235658187","-11.13830673749999","-20","-4.015684","4.112915235658186","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_212927\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_212927\simulated_channel_gain_trace_db.csv"
"51","ui_offline_gpu_20260601_212958","offline_gpu_simulated_channel","6000","24","12.907178513166674","4","19.998082","4.110643716286421","-11.092821486833342","-20","-4.001918","4.110643716286422","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_212958\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_212958\simulated_channel_gain_trace_db.csv"
"52","ui_offline_gpu_20260601_213201","offline_gpu_simulated_channel","6000","24","12.899749753499986","4","19.995219","4.124672445323732","-11.100250246499987","-20","-4.004781","4.12467244532373","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_213201\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_213201\simulated_channel_gain_trace_db.csv"
"53","ui_offline_gpu_20260601_213231","offline_gpu_simulated_channel","6000","24","12.902689697499957","4","19.998109","4.1261094885342375","-11.097310302499999","-20","-4.001891","4.126109488534234","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_213231\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_213231\simulated_channel_gain_trace_db.csv"
"54","ui_offline_gpu_20260601_213448","offline_gpu_simulated_channel","6000","24","12.93936683199999","4","19.99534","4.136833896007819","-11.06063316800001","-20","-4.00466","4.136833896007819","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_213448\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_213448\simulated_channel_gain_trace_db.csv"
"55","ui_offline_gpu_20260601_213915","offline_gpu_simulated_channel","6000","24","12.914144146999991","4","19.999111","4.127800900657143","-11.085855853000016","-20","-4.000889","4.127800900657144","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_213915\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_213915\simulated_channel_gain_trace_db.csv"
"56","ui_offline_gpu_20260601_214112","offline_gpu_simulated_channel","6000","24","12.906829768833338","4","19.99854","4.136150566108136","-11.093170231166653","-20","-4.00146","4.1361505661081335","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_214112\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_214112\simulated_channel_gain_trace_db.csv"
"57","ui_offline_gpu_20260601_214144","offline_gpu_simulated_channel","6000","24","12.887326555666672","4","19.999547","4.106827487377048","-11.11267344433332","-20","-4.000453","4.106827487377046","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_214144\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_214144\simulated_channel_gain_trace_db.csv"
"58","ui_offline_gpu_20260601_221657","offline_gpu_simulated_channel","6000","24","12.900696555166624","4","19.998463","4.124237127925121","-11.099303444833351","-20","-4.001537","4.124237127925121","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_221657\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_221657\simulated_channel_gain_trace_db.csv"
"59","ui_offline_gpu_20260601_221716","offline_gpu_simulated_channel","6000","24","12.881112172666656","4","19.997889","4.13302307810814","-11.118887827333369","-20","-4.002111","4.133023078108142","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_221716\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_221716\simulated_channel_gain_trace_db.csv"
"60","ui_offline_gpu_20260601_221741","offline_gpu_simulated_channel","6000","24","12.917166350833318","4","19.995183","4.112551265114178","-11.082833649166666","-20","-4.004817","4.112551265114178","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_221741\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_221741\simulated_channel_gain_trace_db.csv"
"61","ui_offline_gpu_20260601_221808","offline_gpu_simulated_channel","6000","24","12.910286845333305","4","19.999347","4.123019253086509","-11.089713154666681","-20","-4.000653","4.123019253086508","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_221808\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_221808\simulated_channel_gain_trace_db.csv"
"62","ui_offline_gpu_20260601_222807","offline_gpu_simulated_channel","6000","24","12.902109198000037","4","19.999663","4.1188836631234755","-11.097890801999988","-20","-4.000337","4.118883663123478","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_222807\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_222807\simulated_channel_gain_trace_db.csv"
"63","ui_offline_gpu_20260601_222853","offline_gpu_simulated_channel","6000","24","12.912550894166698","4","19.993765","4.127854637516938","-11.087449105833322","-20","-4.006235","4.127854637516942","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_222853\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_222853\simulated_channel_gain_trace_db.csv"
